task;learner;optimizer;constants;expression;surrogate_score
168868;glmnet;optimistic_random_search_8;False;100 replications;0.9158544950359402
168868;glmnet;optimistic_random_search_16;False;100 replications;0.973491601657093
168868;glmnet;optimistic_random_search_32;False;100 replications;0.9862348004304444
58;knn;optimistic_random_search_2;False;100 replications;0.9921719502732529
58;knn;optimistic_random_search_4;False;100 replications;0.9984507777026844
58;knn;optimistic_random_search_8;False;100 replications;0.999239013139924
58;knn;optimistic_random_search_16;False;100 replications;0.9997151055391194
58;knn;optimistic_random_search_32;False;100 replications;0.9997955991545022
14965;knn;optimistic_random_search_2;False;100 replications;0.9815815821532644
14965;knn;optimistic_random_search_4;False;100 replications;0.9904848245256298
14965;knn;optimistic_random_search_8;False;100 replications;0.9939187372478895
14965;knn;optimistic_random_search_16;False;100 replications;0.9955782356399762
14965;knn;optimistic_random_search_32;False;100 replications;0.9975412644304533
9964;rf;optimistic_random_search_2;False;100 replications;0.8135525777093501
9964;rf;optimistic_random_search_4;False;100 replications;0.8716356260001176
9964;rf;optimistic_random_search_8;False;100 replications;0.9119882074801938
9964;rf;optimistic_random_search_16;False;100 replications;0.9398698797036841
9964;rf;optimistic_random_search_32;False;100 replications;0.9555146962646751
31;rf;optimistic_random_search_2;False;100 replications;0.9885106448975995
31;rf;optimistic_random_search_4;False;100 replications;0.9911794258824134
31;rf;optimistic_random_search_8;False;100 replications;0.9949171655450413
31;rf;optimistic_random_search_16;False;100 replications;0.9956671764807509
31;rf;optimistic_random_search_32;False;100 replications;0.9969182871326403
22;knn;optimistic_random_search_2;False;100 replications;0.9409618640759202
22;knn;optimistic_random_search_4;False;100 replications;0.9895712505472477
22;knn;optimistic_random_search_8;False;100 replications;0.9987308076095992
22;knn;optimistic_random_search_16;False;100 replications;0.9991697878118994
22;knn;optimistic_random_search_32;False;100 replications;0.9994799031292584
167140;rf;optimistic_random_search_2;False;100 replications;0.7947670982968408
167140;rf;optimistic_random_search_4;False;100 replications;0.9205268763522306
167140;rf;optimistic_random_search_8;False;100 replications;0.9505673590237553
167140;rf;optimistic_random_search_16;False;100 replications;0.9732702312409542
167140;rf;optimistic_random_search_32;False;100 replications;0.9833496122448421
145681;rf;optimistic_random_search_2;False;100 replications;0.9368740869372943
145681;rf;optimistic_random_search_4;False;100 replications;0.9504616992265096
145681;rf;optimistic_random_search_8;False;100 replications;0.9551390230338731
145681;rf;optimistic_random_search_16;False;100 replications;0.9644517153323412
145681;rf;optimistic_random_search_32;False;100 replications;0.971708683081234
29;rf;optimistic_random_search_2;False;100 replications;0.9188272574377788
29;rf;optimistic_random_search_4;False;100 replications;0.9522142959125256
29;rf;optimistic_random_search_8;False;100 replications;0.9707545593379564
29;rf;optimistic_random_search_16;False;100 replications;0.9870904595181124
29;rf;optimistic_random_search_32;False;100 replications;0.9909276271506258
14965;svm;optimistic_random_search_2;False;100 replications;0.7976147215937328
14965;svm;optimistic_random_search_4;False;100 replications;0.8863017641506545
14965;svm;optimistic_random_search_8;False;100 replications;0.9150100756385581
14965;svm;optimistic_random_search_16;False;100 replications;0.9437505461663281
14965;svm;optimistic_random_search_32;False;100 replications;0.9609649055195087
3907;svm;optimistic_random_search_2;False;100 replications;0.9950978176606875
3907;svm;optimistic_random_search_4;False;100 replications;0.9961997594812806
3907;svm;optimistic_random_search_8;False;100 replications;0.9972352051963144
3907;svm;optimistic_random_search_16;False;100 replications;0.9979803198986616
3907;svm;optimistic_random_search_32;False;100 replications;0.9986214689040461
3904;rf;optimistic_random_search_2;False;100 replications;0.9464584259575892
3904;rf;optimistic_random_search_4;False;100 replications;0.958147544422134
3904;rf;optimistic_random_search_8;False;100 replications;0.9696736580847835
3904;rf;optimistic_random_search_16;False;100 replications;0.9788992065040887
3904;rf;optimistic_random_search_32;False;100 replications;0.984404818390759
12;glmnet;optimistic_random_search_2;False;100 replications;0.5613823930617258
12;glmnet;optimistic_random_search_4;False;100 replications;0.8345746769569752
12;glmnet;optimistic_random_search_8;False;100 replications;0.9373255073377049
12;glmnet;optimistic_random_search_16;False;100 replications;0.9902041698403924
12;glmnet;optimistic_random_search_32;False;100 replications;0.99757927824513
3561;xgboost;optimistic_random_search_2;False;100 replications;0.994338513617164
3561;xgboost;optimistic_random_search_4;False;100 replications;0.9951561369218008
3561;xgboost;optimistic_random_search_8;False;100 replications;0.9957594998836045
