task;learner;optimizer;constants;expression;surrogate_score
146212;rf;mlr_default;False;mlr_default;0.9962
168336;glmnet;mlr_default;False;mlr_default;0.8895
53;rpart;mlr_default;False;mlr_default;0.8643
168336;knn;mlr_default;False;mlr_default;0.7224
10101;svm;sklearn_default;False;sklearn_default;0.8417
10101;svm;mlr_default;False;mlr_default;0.8417
3512;knn;mlr_default;False;mlr_default;0.9498
146819;glmnet;mlr_default;False;mlr_default;0.9402
31;svm;sklearn_default;False;sklearn_default;0.9432
31;svm;mlr_default;False;mlr_default;0.9534
3022;svm;sklearn_default;False;sklearn_default;0.9661
3022;svm;mlr_default;False;mlr_default;0.9658
29;svm;sklearn_default;False;sklearn_default;0.9837
29;svm;mlr_default;False;mlr_default;0.9843
167120;rpart;mlr_default;False;mlr_default;0.9949
45;glmnet;mlr_default;False;mlr_default;0.9569
168909;xgboost;sklearn_default;False;sklearn_default;0.7727
168338;knn;mlr_default;False;mlr_default;0.4072
167121;rpart;mlr_default;False;mlr_default;0.5196
43;rpart;mlr_default;False;mlr_default;0.7891
167211;xgboost;sklearn_default;False;sklearn_default;0.7776
167119;xgboost;sklearn_default;False;sklearn_default;0.8612
16;rf;mlr_default;False;mlr_default;0.9245
168336;rf;mlr_default;False;mlr_default;0.9276
9910;rf;mlr_default;False;mlr_default;0.9215
168339;xgboost;sklearn_default;False;sklearn_default;0.9815
18;xgboost;sklearn_default;False;sklearn_default;0.9769
189928;rf;mlr_default;False;mlr_default;0.9705
168329;rf;mlr_default;False;mlr_default;0.9671
146606;xgboost;sklearn_default;False;sklearn_default;0.9914
7592;rpart;mlr_default;False;mlr_default;0.7738
45;rpart;mlr_default;False;mlr_default;0.8780
125920;svm;sklearn_default;False;sklearn_default;0.8605
125920;svm;mlr_default;False;mlr_default;0.8661
12;knn;mlr_default;False;mlr_default;0.9464
53;glmnet;mlr_default;False;mlr_default;0.7382
32;rpart;mlr_default;False;mlr_default;0.8660
18;svm;sklearn_default;False;sklearn_default;0.9696
18;svm;mlr_default;False;mlr_default;0.9696
190411;rf;mlr_default;False;mlr_default;0.9569
168911;rf;mlr_default;False;mlr_default;0.9549
9910;glmnet;mlr_default;False;mlr_default;0.9980
3917;svm;sklearn_default;False;sklearn_default;0.5066
3917;svm;mlr_default;False;mlr_default;0.5066
167121;rf;mlr_default;False;mlr_default;0.9916
146800;knn;mlr_default;False;mlr_default;0.7907
146195;xgboost;sklearn_default;False;sklearn_default;0.3386
9970;rf;mlr_default;False;mlr_default;0.9899
10093;rpart;mlr_default;False;mlr_default;0.9008
11;xgboost;sklearn_default;False;sklearn_default;0.9671
49;rpart;mlr_default;False;mlr_default;0.8800
9952;glmnet;mlr_default;False;mlr_default;0.9904
53;rf;mlr_default;False;mlr_default;0.9889
3560;glmnet;mlr_default;False;mlr_default;0.7436
2074;rpart;mlr_default;False;mlr_default;0.9102
146817;knn;mlr_default;False;mlr_default;0.8340
14954;knn;mlr_default;False;mlr_default;0.9916
168911;glmnet;mlr_default;False;mlr_default;0.9988
14;rpart;mlr_default;False;mlr_default;0.8942
168331;xgboost;sklearn_default;False;sklearn_default;0.9465
146822;rpart;mlr_default;False;mlr_default;0.9547
146825;rpart;mlr_default;False;mlr_default;0.8277
3493;glmnet;mlr_default;False;mlr_default;0.7230
3913;svm;sklearn_default;False;sklearn_default;0.8117
3913;svm;mlr_default;False;mlr_default;0.8117
168331;rpart;mlr_default;False;mlr_default;0.6986
146800;glmnet;mlr_default;False;mlr_default;0.8548
189924;xgboost;sklearn_default;False;sklearn_default;0.9919
3485;xgboost;sklearn_default;False;sklearn_default;0.9711
10090;rpart;mlr_default;False;mlr_default;0.7547
3913;rpart;mlr_default;False;mlr_default;0.8139
9971;knn;mlr_default;False;mlr_default;0.9756
168909;rf;mlr_default;False;mlr_default;0.9719
168330;rpart;mlr_default;False;mlr_default;0.6432
167120;rf;mlr_default;False;mlr_default;0.9095
41;svm;sklearn_default;False;sklearn_default;0.9948
41;svm;mlr_default;False;mlr_default;0.9879
3561;svm;sklearn_default;False;sklearn_default;0.6474
3561;svm;mlr_default;False;mlr_default;0.6489
28;rf;mlr_default;False;mlr_default;0.9678
146817;rf;mlr_default;False;mlr_default;0.9831
190412;xgboost;sklearn_default;False;sklearn_default;0.9919
10093;xgboost;sklearn_default;False;sklearn_default;0.8821
53;knn;mlr_default;False;mlr_default;0.9582
146818;xgboost;sklearn_default;False;sklearn_default;0.9912
3512;rpart;mlr_default;False;mlr_default;0.8441
24;rf;mlr_default;False;mlr_default;0.9936
146821;xgboost;sklearn_default;False;sklearn_default;0.9153
16;xgboost;sklearn_default;False;sklearn_default;0.9635
167120;knn;mlr_default;False;mlr_default;0.9949
146820;svm;sklearn_default;False;sklearn_default;0.9920
146820;svm;mlr_default;False;mlr_default;0.9920
3918;rf;mlr_default;False;mlr_default;0.9729
3022;rf;mlr_default;False;mlr_default;0.9472
10101;rf;mlr_default;False;mlr_default;0.9306
219;knn;mlr_default;False;mlr_default;0.9753
146800;rf;mlr_default;False;mlr_default;0.9371
6;rpart;mlr_default;False;mlr_default;0.7510
168337;rpart;mlr_default;False;mlr_default;0.6964
32;xgboost;sklearn_default;False;sklearn_default;0.9700
167121;knn;mlr_default;False;mlr_default;0.7471
168336;xgboost;sklearn_default;False;sklearn_default;0.9754
146819;xgboost;sklearn_default;False;sklearn_default;0.9367
167124;xgboost;sklearn_default;False;sklearn_default;0.9549
45;xgboost;sklearn_default;False;sklearn_default;0.9271
146606;rpart;mlr_default;False;mlr_default;0.5009
3549;svm;sklearn_default;False;sklearn_default;0.9982
3549;svm;mlr_default;False;mlr_default;0.9982
167140;rpart;mlr_default;False;mlr_default;0.8864
167125;glmnet;mlr_default;False;mlr_default;0.9314
18;rpart;mlr_default;False;mlr_default;0.8399
168339;rpart;mlr_default;False;mlr_default;0.5539
3902;svm;sklearn_default;False;sklearn_default;0.8907
3902;svm;mlr_default;False;mlr_default;0.8907
167119;glmnet;mlr_default;False;mlr_default;0.9893
168910;glmnet;mlr_default;False;mlr_default;0.8998
14952;rpart;mlr_default;False;mlr_default;0.7275
3903;xgboost;sklearn_default;False;sklearn_default;0.9768
167211;rpart;mlr_default;False;mlr_default;0.5581
3904;glmnet;mlr_default;False;mlr_default;0.8523
12;rpart;mlr_default;False;mlr_default;0.8370
168329;svm;sklearn_default;False;sklearn_default;0.9722
168329;svm;mlr_default;False;mlr_default;0.9722
167121;xgboost;sklearn_default;False;sklearn_default;0.7777
9946;knn;mlr_default;False;mlr_default;0.8534
167124;knn;mlr_default;False;mlr_default;0.5688
3549;knn;mlr_default;False;mlr_default;0.9019
168909;rpart;mlr_default;False;mlr_default;0.7315
3481;rf;mlr_default;False;mlr_default;0.9270
167141;svm;sklearn_default;False;sklearn_default;0.9385
167141;svm;mlr_default;False;mlr_default;0.9386
3560;knn;mlr_default;False;mlr_default;0.7968
9971;xgboost;sklearn_default;False;sklearn_default;0.9947
53;xgboost;sklearn_default;False;sklearn_default;0.9802
168868;rpart;mlr_default;False;mlr_default;0.7263
146825;rf;mlr_default;False;mlr_default;0.9870
146818;knn;mlr_default;False;mlr_default;0.9619
146822;rf;mlr_default;False;mlr_default;0.9902
9960;rf;mlr_default;False;mlr_default;0.9732
189928;knn;mlr_default;False;mlr_default;0.8942
14969;svm;sklearn_default;False;sklearn_default;0.8679
14969;svm;mlr_default;False;mlr_default;0.8679
22;rf;mlr_default;False;mlr_default;0.9730
9910;knn;mlr_default;False;mlr_default;0.9557
3022;rpart;mlr_default;False;mlr_default;0.7976
10101;rpart;mlr_default;False;mlr_default;0.8877
53;svm;sklearn_default;False;sklearn_default;0.8938
53;svm;mlr_default;False;mlr_default;0.8938
146822;knn;mlr_default;False;mlr_default;0.8560
146825;knn;mlr_default;False;mlr_default;0.7692
31;rpart;mlr_default;False;mlr_default;0.8216
11;glmnet;mlr_default;False;mlr_default;0.9271
9978;glmnet;mlr_default;False;mlr_default;0.7868
14969;rpart;mlr_default;False;mlr_default;0.7714
146607;knn;mlr_default;False;mlr_default;0.9398
168330;rf;mlr_default;False;mlr_default;0.9278
168912;knn;mlr_default;False;mlr_default;0.9908
24;rpart;mlr_default;False;mlr_default;0.9538
3560;xgboost;sklearn_default;False;sklearn_default;0.9763
28;rpart;mlr_default;False;mlr_default;0.8292
189927;rf;mlr_default;False;mlr_default;0.8805
3510;rf;mlr_default;False;mlr_default;0.9883
3481;knn;mlr_default;False;mlr_default;0.9805
3913;rf;mlr_default;False;mlr_default;0.8245
9977;rpart;mlr_default;False;mlr_default;0.7800
125921;svm;sklearn_default;False;sklearn_default;0.9062
125921;svm;mlr_default;False;mlr_default;0.9062
146212;knn;mlr_default;False;mlr_default;0.4037
168909;svm;sklearn_default;False;sklearn_default;0.9518
168909;svm;mlr_default;False;mlr_default;0.9518
11;rf;mlr_default;False;mlr_default;0.9715
9957;xgboost;sklearn_default;False;sklearn_default;0.9885
3485;glmnet;mlr_default;False;mlr_default;0.9308
189924;glmnet;mlr_default;False;mlr_default;0.6795
45;rf;mlr_default;False;mlr_default;0.8702
146800;xgboost;sklearn_default;False;sklearn_default;0.9637
2073;knn;mlr_default;False;mlr_default;0.8762
14954;svm;sklearn_default;False;sklearn_default;0.9271
14954;svm;mlr_default;False;mlr_default;0.9233
146817;svm;sklearn_default;False;sklearn_default;0.9741
146817;svm;mlr_default;False;mlr_default;0.9741
146195;knn;mlr_default;False;mlr_default;0.9176
49;rf;mlr_default;False;mlr_default;0.7400
167211;svm;sklearn_default;False;sklearn_default;0.9394
167211;svm;mlr_default;False;mlr_default;0.9394
3902;rpart;mlr_default;False;mlr_default;0.6965
190412;glmnet;mlr_default;False;mlr_default;0.3740
146195;svm;sklearn_default;False;sklearn_default;0.8209
146195;svm;mlr_default;False;mlr_default;0.7461
3918;svm;sklearn_default;False;sklearn_default;0.5088
3918;svm;mlr_default;False;mlr_default;0.5088
2079;svm;sklearn_default;False;sklearn_default;0.9716
2079;svm;mlr_default;False;mlr_default;0.9715
146800;svm;sklearn_default;False;sklearn_default;0.9959
146800;svm;mlr_default;False;mlr_default;0.9959
2073;svm;sklearn_default;False;sklearn_default;0.9911
2073;svm;mlr_default;False;mlr_default;0.9911
16;glmnet;mlr_default;False;mlr_default;0.9305
3021;knn;mlr_default;False;mlr_default;0.8598
189924;rf;mlr_default;False;mlr_default;0.6852
3485;rf;mlr_default;False;mlr_default;0.8029
168335;rpart;mlr_default;False;mlr_default;0.6934
3;knn;mlr_default;False;mlr_default;0.9914
37;svm;sklearn_default;False;sklearn_default;0.9429
37;svm;mlr_default;False;mlr_default;0.9429
125920;xgboost;sklearn_default;False;sklearn_default;0.9901
2079;xgboost;sklearn_default;False;sklearn_default;0.9822
3918;knn;mlr_default;False;mlr_default;0.8396
3907;glmnet;mlr_default;False;mlr_default;0.5221
125922;knn;mlr_default;False;mlr_default;0.9747
190412;rf;mlr_default;False;mlr_default;0.9987
9956;svm;sklearn_default;False;sklearn_default;0.9599
9956;svm;mlr_default;False;mlr_default;0.9599
9981;svm;sklearn_default;False;sklearn_default;0.9350
9981;svm;mlr_default;False;mlr_default;0.9350
146820;rpart;mlr_default;False;mlr_default;0.8115
9946;rpart;mlr_default;False;mlr_default;0.8009
167125;xgboost;sklearn_default;False;sklearn_default;0.9686
9960;rpart;mlr_default;False;mlr_default;0.9572
168332;xgboost;sklearn_default;False;sklearn_default;0.9760
168909;knn;mlr_default;False;mlr_default;0.9190
9971;rf;mlr_default;False;mlr_default;0.9945
146212;svm;sklearn_default;False;sklearn_default;0.9994
146212;svm;mlr_default;False;mlr_default;0.9994
168908;xgboost;sklearn_default;False;sklearn_default;0.9945
9986;xgboost;sklearn_default;False;sklearn_default;0.5583
168910;xgboost;sklearn_default;False;sklearn_default;0.4935
3903;glmnet;mlr_default;False;mlr_default;0.6968
3893;rpart;mlr_default;False;mlr_default;0.8797
41;rpart;mlr_default;False;mlr_default;0.9693
3510;rpart;mlr_default;False;mlr_default;0.8232
3904;xgboost;sklearn_default;False;sklearn_default;0.9918
3561;rpart;mlr_default;False;mlr_default;0.7911
9956;xgboost;sklearn_default;False;sklearn_default;0.9387
3573;knn;mlr_default;False;mlr_default;0.5955
146818;svm;sklearn_default;False;sklearn_default;0.9913
146818;svm;mlr_default;False;mlr_default;0.9907
168338;rpart;mlr_default;False;mlr_default;0.6613
9952;rf;mlr_default;False;mlr_default;0.9548
146212;xgboost;sklearn_default;False;sklearn_default;0.9490
9985;xgboost;sklearn_default;False;sklearn_default;0.9814
9976;glmnet;mlr_default;False;mlr_default;0.9151
125922;glmnet;mlr_default;False;mlr_default;0.8339
9971;glmnet;mlr_default;False;mlr_default;0.8965
146822;svm;sklearn_default;False;sklearn_default;0.9646
146822;svm;mlr_default;False;mlr_default;0.9646
168336;svm;sklearn_default;False;sklearn_default;0.9489
168336;svm;mlr_default;False;mlr_default;0.9489
3493;rf;mlr_default;False;mlr_default;0.4797
31;knn;mlr_default;False;mlr_default;0.9730
9960;svm;sklearn_default;False;sklearn_default;0.9151
9960;svm;mlr_default;False;mlr_default;0.9151
14969;rf;mlr_default;False;mlr_default;0.9835
3945;rf;mlr_default;False;mlr_default;0.9396
22;svm;sklearn_default;False;sklearn_default;0.9877
22;svm;mlr_default;False;mlr_default;0.9877
9970;knn;mlr_default;False;mlr_default;0.9972
9946;svm;sklearn_default;False;sklearn_default;0.9951
9946;svm;mlr_default;False;mlr_default;0.9951
168339;rf;mlr_default;False;mlr_default;0.9312
167141;glmnet;mlr_default;False;mlr_default;0.9587
14970;xgboost;sklearn_default;False;sklearn_default;0.5887
146606;rf;mlr_default;False;mlr_default;0.8976
7592;knn;mlr_default;False;mlr_default;0.8417
189927;svm;sklearn_default;False;sklearn_default;0.8859
189927;svm;mlr_default;False;mlr_default;0.8859
9978;xgboost;sklearn_default;False;sklearn_default;0.9468
18;rf;mlr_default;False;mlr_default;0.9080
190411;svm;sklearn_default;False;sklearn_default;0.8839
190411;svm;mlr_default;False;mlr_default;0.8905
3917;rpart;mlr_default;False;mlr_default;0.9117
14971;glmnet;mlr_default;False;mlr_default;0.7089
2073;rpart;mlr_default;False;mlr_default;0.8895
168329;knn;mlr_default;False;mlr_default;0.5571
45;svm;sklearn_default;False;sklearn_default;0.9879
45;svm;mlr_default;False;mlr_default;0.9873
146824;xgboost;sklearn_default;False;sklearn_default;0.9668
145681;rpart;mlr_default;False;mlr_default;0.9942
9957;glmnet;mlr_default;False;mlr_default;0.9405
146817;rpart;mlr_default;False;mlr_default;0.6722
14954;rpart;mlr_default;False;mlr_default;0.8262
9964;rpart;mlr_default;False;mlr_default;0.9636
49;knn;mlr_default;False;mlr_default;0.8186
