,gamma,num.impute.selected.cpo,nrounds,eta,lambda,alpha,subsample,max_depth,min_child_weight,colsample_bytree,colsample_bylevel,booster,rate_drop,skip_drop
146817.0,0.0101227,impute.median,1825.0,0.0463148,248.177,0.000932926,0.326652,13.0,2.64353,0.438011,0.507791,gbtree,,
31.0,4.15233,impute.mean,224.0,0.0590913,0.0349897,0.0298303,0.889363,15.0,1.10029,0.633104,0.493137,gbtree,,
9971.0,0.0174656,impute.hist,211.0,0.0628189,0.0182666,0.00341635,0.632127,3.0,0.0393872,0.499077,0.160132,gbtree,,
168908.0,0.323108,impute.median,587.0,0.0132198,0.00531618,0.0291747,0.978689,10.0,1.45186,0.251398,0.196044,gbtree,,
146606.0,0.0057753,impute.mean,396.0,0.04778,0.245376,0.00192871,0.920314,11.0,21.3051,0.774802,0.742837,gbtree,,
3561.0,3.80775e-05,impute.hist,1042.0,0.193801,0.0125535,0.0677078,0.959209,3.0,1.1011,0.959919,0.696045,gbtree,,
189927.0,0.0017451,impute.median,2622.0,0.00967243,4.14934,0.0506065,0.913783,9.0,1.59121,0.301426,0.689654,gbtree,,
18.0,0.00094623,impute.mean,762.0,0.97665,0.0173185,0.00183707,0.492579,11.0,7.50777,0.421067,0.179727,gbtree,,
168330.0,1.001,impute.median,1701.0,0.010956,0.0302611,0.0341904,0.870767,14.0,36.2609,0.858622,0.491205,gbtree,,
2079.0,0.013263,impute.mean,362.0,0.0150904,0.0856683,0.12571,0.408453,4.0,1.64106,0.857577,0.555414,gbtree,,
168910.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
145681.0,0.816998,impute.mean,516.0,0.0103201,0.0121846,0.0028532,0.710744,13.0,2.80656,0.932278,0.438579,gbtree,,
14969.0,3.2598e-05,impute.mean,999.0,0.0164445,0.00131924,0.00174988,0.664257,9.0,3.11379,0.335563,0.476411,gbtree,,
168331.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
125921.0,2.92871,impute.hist,276.0,0.153679,0.00866321,0.000603348,0.764324,10.0,1.203,0.886549,0.0851121,gbtree,,
168339.0,1.59103,impute.hist,1491.0,0.00764405,0.0443483,0.0169585,0.562003,11.0,1.04617,0.646332,0.538982,gbtree,,
23.0,4.15233,impute.mean,224.0,0.0590913,0.0349897,0.0298303,0.889363,15.0,1.10029,0.633104,0.493137,gbtree,,
2073.0,0.540007,impute.median,1124.0,0.017849,0.0202959,0.0952559,0.767448,12.0,1.38378,0.945614,0.614201,gbtree,,
9985.0,9.23612e-05,impute.median,204.0,0.143361,0.0141849,0.00717774,0.623329,6.0,0.0862878,0.941184,0.288991,gbtree,,
167124.0,0.000499442,impute.median,392.0,0.134472,0.249967,0.00925994,0.916734,12.0,17.6185,0.821092,0.0407068,gbtree,,
168332.0,0.000278474,impute.hist,2014.0,0.0857889,4.24302,3.77559e-06,0.948218,4.0,0.364724,0.790905,0.126456,gbtree,,
189924.0,0.0470836,impute.median,204.0,0.0884289,0.00155846,0.0253163,0.386764,3.0,0.039917,0.48268,0.402322,gbtree,,
168329.0,0.089966,impute.hist,120.0,0.483831,11.9884,0.00112799,0.982635,6.0,22.7959,0.066351,0.482782,gbtree,,
