endresult;expression;gen;inout;length;problem;run;score;search;task
1.0;make_tuple(0.12894480542762582, mcp, mkd, 0.6722102918517636, p, po, 0.653855165568429, po, m);2.0;in;1.0;xgboost;257339e4-0667-447e-b05f-11139b11ed65;0.9521;random_search_3000;18.0
1.0;make_tuple(0.12894480542762582, mcp, mkd, 0.6722102918517636, p, po, 0.653855165568429, po, m);2.0;out;1.0;xgboost;257339e4-0667-447e-b05f-11139b11ed65;0.953;random_search_3000;18.0
1.0;make_tuple(0.14509345282053962, 0.012571965814679656, mkd, 0.0011523051374844483, p, 7, xvar, n, 0.8651390993410175);2.0;in;1.0;xgboost;69cfd63a-7c01-4cb2-a436-439d8aa155e4;0.9529;random_search_3000;12.0
1.0;make_tuple(0.14509345282053962, 0.012571965814679656, mkd, 0.0011523051374844483, p, 7, xvar, n, 0.8651390993410175);2.0;out;1.0;xgboost;69cfd63a-7c01-4cb2-a436-439d8aa155e4;0.9939;random_search_3000;12.0
1.0;make_tuple(0.10785196862624744, mkd, mkd, 0.004469867858800049, m, p, 0.4591176152893945, n, po);2.0;in;1.0;xgboost;28ea3c76-8923-4fbd-bb2a-fea07af05221;0.952;random_search_3000;168911.0
1.0;make_tuple(0.10785196862624744, mkd, mkd, 0.004469867858800049, m, p, 0.4591176152893945, n, po);2.0;out;1.0;xgboost;28ea3c76-8923-4fbd-bb2a-fea07af05221;0.9678;random_search_3000;168911.0
1.0;make_tuple(0.08563291466142024, xvar, mcp, mcp, po, po, xvar, p, 2);2.0;in;1.0;xgboost;0ea80b21-728c-4f1d-87b1-224d16886cb3;0.9518;random_search_3000;190411.0
1.0;make_tuple(0.08563291466142024, xvar, mcp, mcp, po, po, xvar, p, 2);2.0;out;1.0;xgboost;0ea80b21-728c-4f1d-87b1-224d16886cb3;0.963;random_search_3000;190411.0
1.0;make_tuple(0.05927498573138766, rc, mkd, mcp, po, n, xvar, 561, mcp);2.0;in;1.0;xgboost;9b3d157e-7dda-4832-af13-992412ff83e1;0.9522;random_search_3000;168338.0
1.0;make_tuple(0.05927498573138766, rc, mkd, mcp, po, n, xvar, 561, mcp);2.0;out;1.0;xgboost;9b3d157e-7dda-4832-af13-992412ff83e1;0.995;random_search_3000;168338.0
1.0;make_tuple(0.03838391945194702, mkd, 0.016826192883744186, mcp, po, n, xvar, m, 4);2.0;in;1.0;xgboost;99440b82-7e70-4186-9b88-0a3df7ee848c;0.9514;random_search_3000;168868.0
1.0;make_tuple(0.03838391945194702, mkd, 0.016826192883744186, mcp, po, n, xvar, m, 4);2.0;out;1.0;xgboost;99440b82-7e70-4186-9b88-0a3df7ee848c;0.999;random_search_3000;168868.0
1.0;make_tuple(0.13425537666541057, xvar, mkd, mkd, po, p, xvar, 3, n);2.0;in;1.0;xgboost;3b3dc757-86e6-4fa5-b79a-f6cbf4e073f1;0.9518;random_search_3000;3485.0
1.0;make_tuple(0.13425537666541057, xvar, mkd, mkd, po, p, xvar, 3, n);2.0;out;1.0;xgboost;3b3dc757-86e6-4fa5-b79a-f6cbf4e073f1;0.9713;random_search_3000;3485.0
1.0;make_tuple(min(2, 0.036734026660110476), expit(xvar), neg(mcp), min(xvar, mcp), max(2, mkd), add(p, p), pow(2, mkd), if_gt(mkd, mkd, mkd, n), expit(0.18111547782326184));2.0;in;10.0;xgboost;14a58fc2-8fa8-4c6c-a738-f25b905b2a86;0.9538;random_search_3000;11.0
1.0;make_tuple(min(2, 0.036734026660110476), expit(xvar), neg(mcp), min(xvar, mcp), max(2, mkd), add(p, p), pow(2, mkd), if_gt(mkd, mkd, mkd, n), expit(0.18111547782326184));2.0;out;10.0;xgboost;14a58fc2-8fa8-4c6c-a738-f25b905b2a86;0.8796;random_search_3000;11.0
1.0;make_tuple(if_gt(neg(n), pow(mkd, rc), min(xvar, 3), max(0.08574037246431802, mkd)), expit(sub(n, mkd)), min(truediv(mcp, m), max(n, mkd)), expit(max(mkd, 66)), add(pow(xvar, mcp), add(p, p)), sub(max(xvar, xvar), neg(po)), min(expit(po), min(p, xvar)), expit(if_gt(n, xvar, xvar, 194)), expit(max(rc, p)));2.0;in;26.0;xgboost;194f93a3-dcbb-4636-84ef-b3d2c0cdc0bf;0.9519;random_search_3000;3549.0
1.0;make_tuple(if_gt(neg(n), pow(mkd, rc), min(xvar, 3), max(0.08574037246431802, mkd)), expit(sub(n, mkd)), min(truediv(mcp, m), max(n, mkd)), expit(max(mkd, 66)), add(pow(xvar, mcp), add(p, p)), sub(max(xvar, xvar), neg(po)), min(expit(po), min(p, xvar)), expit(if_gt(n, xvar, xvar, 194)), expit(max(rc, p)));2.0;out;26.0;xgboost;194f93a3-dcbb-4636-84ef-b3d2c0cdc0bf;0.988;random_search_3000;3549.0
1.0;make_tuple(0.04475210873157593, mkd, mkd, mcp, m, p, xvar, p, 1);2.0;in;1.0;xgboost;b9b1b3d6-46d1-40ae-a0de-1a5b05fc91a1;0.9531;random_search_3000;167124.0
1.0;make_tuple(0.04475210873157593, mkd, mkd, mcp, m, p, xvar, p, 1);2.0;out;1.0;xgboost;b9b1b3d6-46d1-40ae-a0de-1a5b05fc91a1;0.8628;random_search_3000;167124.0
1.0;make_tuple(0.05084430960884333, mcp, mcp, mkd, n, 38, xvar, po, 0.36276375186667975);2.0;in;1.0;xgboost;7f077761-cc97-4c4c-b4b7-fe9c3afb7165;0.9532;random_search_3000;10093.0
1.0;make_tuple(0.05084430960884333, mcp, mcp, mkd, n, 38, xvar, po, 0.36276375186667975);2.0;out;1.0;xgboost;7f077761-cc97-4c4c-b4b7-fe9c3afb7165;0.9902;random_search_3000;10093.0
