endresult;expression;gen;inout;length;problem;run;score;search;task
1.0;make_tuple(truediv(m, mcp), truediv(mkd, xvar));2.0;out;3.0;svm;3d1bab99-6306-45ea-897e-2ed17db2ddd0;0.9398;random_search_300;167125.0
1.0;make_tuple(truediv(max(mcp, m), truediv(xvar, m)), max(sub(57, n), truediv(xvar, po)));2.0;in;7.0;svm;ba0051fb-b634-4351-addb-b6c33b04c011;0.9032;random_search_300;43.0
1.0;make_tuple(truediv(max(mcp, m), truediv(xvar, m)), max(sub(57, n), truediv(xvar, po)));2.0;out;7.0;svm;ba0051fb-b634-4351-addb-b6c33b04c011;0.9888;random_search_300;43.0
1.0;make_tuple(sub(pow(po, mkd), sub(mcp, m)), truediv(neg(mkd), neg(xvar)));2.0;in;7.0;svm;1750a5ba-59e9-47b5-b70f-083f99c10cac;0.9055;random_search_300;9952.0
1.0;make_tuple(sub(pow(po, mkd), sub(mcp, m)), truediv(neg(mkd), neg(xvar)));2.0;out;7.0;svm;1750a5ba-59e9-47b5-b70f-083f99c10cac;0.6771;random_search_300;9952.0
1.0;make_tuple(truediv(add(xvar, m), pow(mkd, mkd)), truediv(truediv(xvar, po), min(m, xvar)));2.0;in;7.0;svm;30068b36-6b53-4297-ba4b-8c21ac18f877;0.9057;random_search_300;168336.0
1.0;make_tuple(truediv(add(xvar, m), pow(mkd, mkd)), truediv(truediv(xvar, po), min(m, xvar)));2.0;out;7.0;svm;30068b36-6b53-4297-ba4b-8c21ac18f877;0.927;random_search_300;168336.0
1.0;make_tuple(add(m, xvar), truediv(mkd, xvar));2.0;in;3.0;svm;0dbb309a-6174-4237-9641-fc985a104689;0.9037;random_search_300;11.0
1.0;make_tuple(add(m, xvar), truediv(mkd, xvar));2.0;out;3.0;svm;0dbb309a-6174-4237-9641-fc985a104689;0.9012;random_search_300;11.0
1.0;make_tuple(truediv(min(n, m), expit(m)), truediv(expit(p), sub(po, mcp)));2.0;in;7.0;svm;9e2d694e-482a-4c05-83d2-4c38780e9496;0.9033;random_search_300;49.0
1.0;make_tuple(truediv(min(n, m), expit(m)), truediv(expit(p), sub(po, mcp)));2.0;out;7.0;svm;9e2d694e-482a-4c05-83d2-4c38780e9496;0.967;random_search_300;49.0
1.0;make_tuple(add(min(m, p), max(xvar, 0.0022146550162737972)), truediv(truediv(m, m), if_gt(po, po, m, po)));2.0;in;7.0;svm;33888605-a568-4c43-b1b4-9a731d9620cd;0.9041;random_search_300;146817.0
1.0;make_tuple(add(min(m, p), max(xvar, 0.0022146550162737972)), truediv(truediv(m, m), if_gt(po, po, m, po)));2.0;out;7.0;svm;33888605-a568-4c43-b1b4-9a731d9620cd;0.9714;random_search_300;146817.0
